text,hashtags,placename,"Sit == True  (1), else (0)","Relevant == True (1), else (0)"
b'Wow ... a must watch https://t.co/0pX2pwhF7p',,"Greater Vancouver, British Columbia",,
"b'hey @ volleyball guy i met at work today....,,,,..,,....,...,.....,,,.,,,..let me get a couple of hits on ya'",,"Edmonton, Alberta",,
b'@asadyyc @ReWorksYYC I\\u2019m advocating 4 this work. 16 &amp,19 Aves need a serious diet &amp,cycletracks R a perfect solutio\\u2026 https://t.co/PphL1pMRlA',,
"b""If you're looking for work in #London, ON, check out this #job: https://t.co/eeIRmH16U4 #TheCreativeGroup #Marketing #Hiring""","London,job,TheCreativeGroup,Marketing,Hiring","London, Ontario",,
"b""Want to work at Starbucks? We're #hiring in #Vaughan, ON! Click for details: https://t.co/h7vp8jzUNt #CustomerService #Job #Jobs""","hiring,Vaughan,CustomerService,Job,Jobs","Vaughan, Ontario",,
b'#mindsmatter panel telling real stories about mental wellness at work. https://t.co/Blx07vwFzk',mindsmatter,Ontario Shores Centre for Mental Health Sciences,,
b'Talking wound care with @Klewiskiwi on day 2 of the @WoundsCanada Changing Practice workshop. #WoundsCanada https://t.co/4zIWiocBFR',WoundsCanada,"Mississauga, Ontario",,
"b'Schlatman says Smich worked at the hangar in Waterloo, On, every now and then. Smich and his girlfriend, Marlena, w\\u2026 https://t.co/TgkVu9cUS1'",,Canada,,
b'Not going to school today cause i want to play video games and since I\\u2019ve been trying to become good like TeddyReck\\u2026 https://t.co/NgwbY8VrG3',,"Moose Jaw, Saskatchewan",,
b'Register for the IP Exhibit to hear from Dr. Mark Kaethler about his collaborative work with students! https://t.co/6XKnAnhOk1',,"Cypress County, Alberta",,
b'I need to chill.',,"Montr̩al, Qu̩bec",,
"b""@mwalibali That would be interesting. I watched my son when he attempted this task but I don't really recall exactl\\u2026 https://t.co/2hOemWnXyu""",,"Comox Valley A, British Columbia",,
"b'@minnysan @elmocanuck @mosesjoelle @cathmckenna I work in climate change professionally, so, obviously I care about\\u2026 https://t.co/sevnv9ySiQ'",,"Surrey, British Columbia",,
b'Good thing I left early .. an extra 30 mins to get to work !',,"Winnipeg, Manitoba",,
"b""If you're looking for work in #Laval, QC, check out this #job: https://t.co/YXXXB8Qdwa #SupplyChain #Hiring #CareerArc""","Laval,job,SupplyChain,Hiring,CareerArc","Laval, Qu̩bec",,
"b""@HuffPostCanada How'd that work for ya?""",,"Didsbury, Alberta",,
"b""@helenprejean @JohnKasich There's significant hubris at work in Ohio with the failure to admit their inhumane folli\\u2026 https://t.co/XDlg2t0vJ7""",,"Toronto, Ontario",,
"b'Excited for tomorrow\\u2019s @SYFYVanHelsing. Please watch at 9pm EST if you\\u2019re in the US on @SYFY. No spoilers, but\\u2026 https://t.co/Lyoelnk10C'",,"Vancouver, British Columbia",,
"b'@glaxdal1 @ahs_scn @timbaron70 @slitvinch1 Agree, I trained there for 2 years, great people doing great work! Foothills rocks big time!'",,"Division No. 11, Alberta",,
b'There\\u2019s actually strong evidence that fair and stable scheduling is not just good for workers\\u2019 health and well bein\\u2026 https://t.co/xm47OH500S',,"Toronto, Ontario",,
b'At work I\\u2019m known as the nicest and most loving person employee... I\\u2019m 100% okay with this.',,"Devon, Alberta",,
"b'As a PG myself, watching Lonzo\\u2019s game is embarrassing'",,"Vancouver, British Columbia",,
"b""@LxFrancis I've not tried that yet but it does work surprisingly well on saltines.""",,"Halifax, Nova Scotia",,
b'Must watch fight. https://t.co/sqpHrE6C0r',,"Tecumseh, Ontario",,
b'@akakatie1 Yup! Will be leaving work early so not around between 4:30 &amp,6.',,,
b'Things that I heard today at work that I wished I hadn\\u2019t : \\u201cI fell asleep in my own cum last night.\\u201d',,"Montr̩al, Qu̩bec",,
"b'@Kent_Wilson I watch the CFL. I know officiating incompetence when I see it. The NHL ""crackdown"" qualifies.'",,"Edmonton, Alberta",,
b'kailan ba ang week na walang worksheets/test ha ano kelan?',,"Richmond, British Columbia",,
b'why am I watching stranger things on my own... jumping off the fucking couch every damn minute',,"Toronto, Ontario",,
b'Watching baseball after watching hockey. \\n\\nIt\\u2019s soooo slooooooowwwwww',,"Montcalm, Manitoba",,
b'@KiaSpeaks I love you! And so do all the fellow dancers I work with',,"Pickering, Ontario",,
"b'Got put on bae watch this weekend \\U0001f3ca\\U0001f3fc\\u200d\\u2640\\ufe0f @ London, Ontario https://t.co/9zbgRfGibS'",,"London, Ontario",,
"b'Every time I watch #inhumans I ask myself, what did I just watch?'",inhumans,"Edmonton, Alberta",,
b'Been eating sweets since I got home from work. What is wrong with me? \\U0001f629\\U0001f602',,"Richmond, British Columbia",,
"b'Kid goals, \\u201cDad can I roll carbon like you do someday?\\u201d Yes boy. You sure can. Keep working hard\\u2026 https://t.co/eyIYtin1XM'",,"Surrey, British Columbia",,
"b""Je pense j'ai d\\xe9j\\xe0 checker tous les bons. Action movies on Netflix smh!! Ils doivent mettre plus!!""",,"Montr̩al, Qu̩bec",,
"b'We are watching a scary movie on the iPad, in bed with the cat, when a HomeKit notification pops up: Motion detected in TV room! Eeeeeeeeek!'",,"London, Ontario",,
b'It was something to watch! https://t.co/1TrRfWPgRs',,"Winnipeg, Manitoba",,
b'Energy drinks and games - long weekend for me',,"Winnipeg, Manitoba",,
"b'Okay that\\u2019s it, I\\u2019m watching #90dayfiance. Tell me if something exciting happens in MLS.'",90dayfiance,"Milton, Ontario",,
"b'I am like Jesus in JCSS, watching King Herod as the world being all faggety and Soddom G and then being tested by e\\u2026 https://t.co/oudZ5zwGmF'",,"Kingston, Ontario",,
"b'Want to work in #Markham, ON? View our latest opening: https://t.co/pmFj4Mg4rp #IT #AMD #software #Job #Jobs #Hiring #CareerArc'","Markham,IT,AMD,software,Job,Jobs,Hiring,CareerArc","Markham, Ontario",,
"b'@thehill Honestly now, #Pompeo been silent since confirmed, gotta watch them quiet ones. @CNNPolitics #Trump maste\\u2026 https://t.co/Cc07rOoXxV'","Pompeo,Trump","Sackville, New Brunswick",,
"b""If you're looking for work in #Mississauga, ON, check out this #job: https://t.co/LSbJMz2fsv #CustomerService #Hiring #CareerArc""","Mississauga,job,CustomerService,Hiring,CareerArc","Mississauga, Ontario",,
"b""If you're looking for work in #Mississauga, ON, check out this #job: https://t.co/LSbJMz2fsv #CustomerService #Hiring #CareerArc""","Mississauga,job,CustomerService,Hiring,CareerArc","Mississauga, Ontario",,
b'If I could only work evenings and night shifts for the rest of my life that would be nice',,"Regina, Saskatchewan",,
"b""It's pretty chilly this AM! Stay up-to-date with the @ctvregina Weather App: https://t.co/0OJ2rdsSmz #SK #Sask #YQR\\u2026 https://t.co/gZ96KUX1l9""","SK,Sask,YQR","Regina, Saskatchewan",,
b'Just watched a whole anime about this lol https://t.co/1KHdOiJPzl',,"Toronto, Ontario",,
b'Always exciting to see a familiar face from the #YorkU community while at work in Ottawa! Dr. Carl James from\\u2026 https://t.co/FYYVLWb571',YorkU,Hillcrest High School,,
"b""@bjrisman Can't wait to read Barbara Risman's forthcoming book on millennial and the gender structure. Love her work.""",,"Loyalist, Ontario",,
"b'The joys of looking at a website and thinking, ""How the hell did I make this work?"" I have a redirect, but I\'m not\\u2026 https://t.co/0wAGtbCPki'",,"Oakville, Ontario",,
"b""Want to work at Manulife? We're #hiring in #Toronto, ON! Click for details: https://t.co/leUfjXV85j #IT #Job #Jobs""","hiring,Toronto,IT,Job,Jobs","Toronto, Ontario",,
b'Catching up on some creative work and admin. Got a great seat by the window. (@ Starbucks) https://t.co/e0ZPNHX8Hd https://t.co/T50oLVunf6',,"Hamilton, Ontario",,
"b""Awesome endeavour: Advocacy group taking ethics watchdog to court over PM's probe #cdnpoli https://t.co/2nW39F0nUf""",cdnpoli,"Oshawa, Ontario",,
b'Game 5 of the 2017 World Series highlights and chill',,"Halifax, Nova Scotia",,
b'Two very entertaining hockey games. OCN\\u2019s goalie was spectacular in both games. Great effort by the\\u2026 https://t.co/ihMjzoJ2At',,"Portage la Prairie, Manitoba",,
"b'Why does everyone immediately think that work can be completed ""this week""? \\n\\n""Hi nice to meet you can you have this done tomorrow?""\\n\\n""No!""'",,"Vancouver, British Columbia",,
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/a0dmqgx91f #Hiring #CareerArc""","Toronto,job,Hiring,CareerArc","Toronto, Ontario",,
"b""If you're looking for work in #Regina, SK, check out this #job: https://t.co/EgYt5Ucpti #Marketing #Hiring #CareerArc""","Regina,job,Marketing,Hiring,CareerArc","Regina, Saskatchewan",,
b'He founded the firm w brother John who used to work w/ Manafort on Ukraine while John recently worked as Hillary\\u2019s\\u2026 https://t.co/IuLjtD3MbF',,"Calgary, Alberta",,
"b""If you're looking for work in #Sherbrooke, QC, check out this #job: https://t.co/qR8StFQ8Dj #Retail #Hiring #CareerArc""","Sherbrooke,job,Retail,Hiring,CareerArc","Sherbrooke, Qu̩bec",,
b'We have an elf at work delivering Christmas spirit....\\nIn October.\\nBaHumbug everyone @ Lexus of\\u2026 https://t.co/7rQkCfpEFl',,"Barrie, Ontario",,
b'@sublimebombast @jennpelly One of the biggies in the record store I was working at when it was released. \\U0001f5a4',,"Ottawa, Ontario",,
b'You need to watch this video!! @DirectorVRC https://t.co/JqaxD07TSq',,"Belleville, Ontario",,
b'Someone just tryed to ip boot me cause he was losing in @EASPORTSNHL #hut18 \\U0001f601 it didnt work.',hut18,"Shawinigan, Qu̩bec",,
"b""Want to work at TJX Canada? We're #hiring in #Oakville, ON! Click for details: https://t.co/UCXWmFSl1F #Retail #Job #Jobs #CareerArc""","hiring,Oakville,Retail,Job,Jobs,CareerArc","Oakville, Ontario",,
"b'Johnny, the boxing mannequin at T-Squared, is getting into the Halloween spirit! And creepily watching me while I w\\u2026 https://t.co/zGTXZj5tk8'",,Tsquared Vancouver Personal Training,,
b'Love how nothing ever will work out for me',,"Barrie, Ontario",,
"b'PD Day in #PEI, talking #4R with Vernon Taylor,giving his perspective why it works on his farm!@N4LCanada\\u2026 https://t.co/Cy0FEgPn7J'","PEI,4R","Charlottetown, Prince Edward Island",,
b'Going to watch Young Sheldon on CTV #Fibe #CTV #YoungSheldon \\U0001f4fc\\U0001f44d\\U0001f44d\\U0001f44d\\U0001f471\\U0001f3fb\\U0001f471\\U0001f3fb\\u200d\\u2640\\ufe0f\\U0001f467\\U0001f3fc\\U0001f466\\U0001f3fb\\U0001f380',"Fibe,CTV,YoungSheldon","Toronto, Ontario",,
"b'Tell all of your friends and fam who live in #MountPearlNorth to #VoteLester, he will work hard for all! @FarmerJim\\u2026 https://t.co/ut5vlHo1D7'","MountPearlNorth,VoteLester","St. John's, Newfoundland and Labrador",,
"b'Want to work in #Burlington, ON? View our latest opening: https://t.co/X2kV2wy5Wi #Retail #Veterans #Job #Jobs #Hiring #CareerArc'","Burlington,Retail,Veterans,Job,Jobs,Hiring,CareerArc","Burlington, Ontario",,
"b'Going Blonde \\U0001f487\\U0001f481 is PROCESS \\n.\\n.\\nIt was a journey to get here, still some work to go. Fortunately\\u2026 https://t.co/GOXA6HqIdO'",,"Stratford, Ontario",,
"b""Want to work at Mosaic? We're #hiring in #Toronto, ON! Click for details: https://t.co/vlkkA3iAGl #Marketing #Job #Jobs #CareerArc""","hiring,Toronto,Marketing,Job,Jobs,CareerArc","Toronto, Ontario",,
"b""If you're looking for work in #Winnipeg, MB, check out this #job: https://t.co/neG3vpT6YS #Retail #Veterans #Hiring #CareerArc""","Winnipeg,job,Retail,Veterans,Hiring,CareerArc","Winnipeg, Manitoba",,
b'Is your phone dead or not working? Place your next booking right from our website! #LdnOnt #MonkeyBusiness\\u2026 https://t.co/SByv9c5JZA',"LdnOnt,MonkeyBusiness","London, Ontario",,
"b""I don't wanna work today. I just wanna sit at home and grind""",,"Winnipeg, Manitoba",,
"b""Want to work at HMSHost? We're #hiring in #Ottawa, ON! Click for details: https://t.co/OWAKoC304u #Cashier #FoodService #Job #Jobs""","hiring,Ottawa,Cashier,FoodService,Job,Jobs","Ottawa, Ontario",,
b'Gonna go hit the mall before work. Why not.',,"Brampton, Ontario",,
b'. @FeedingHannibal working w/ @BryanFuller - he has 60 windows open on screen ands ready to go with all of them #hannibal #FannibalFest2017',"hannibal,FannibalFest2017","Mississauga, Ontario",,
"b""If you're looking for work in #Vancouver, BC, check out this #job: https://t.co/INUWEqHg8y #Clerical #Hiring #CareerArc""","Vancouver,job,Clerical,Hiring,CareerArc","Vancouver, British Columbia",,
"b""Want to work at TJX Canada? We're #hiring in #SaintJ\\xe9r\\xf4me, QC! Click for details: https://t.co/P6ER1kyi7N #Retail #Job #Jobs #CareerArc""","hiring,SaintJ̩r̫me,Retail,Job,Jobs,CareerArc","Mirabel, Qu̩bec",,
b'. @FeedingHannibal - @BryanFuller always looking to make your work better and collaborate! #hannibal #fannibals #FannibalFest2017',"hannibal,fannibals,FannibalFest2017","Mississauga, Ontario",,
"b""@Jsports_47 it worked on Willy, working a little of Mitch, Carrick &amp; Leivo looked good in the limited time. \\n\\nWe'll see.""",,"Toronto, Ontario",,
"b""If you're looking for work in #Canada, check out this #job: https://t.co/IxaMW4yWNR #IT #Hiring #CareerArc""","Canada,job,IT,Hiring,CareerArc","Division No. 18, Unorganized, Saskatchewan",,
"b'@Steve_Dangle I watched LFR &amp; I have answer for you: Quick is just being goofy vs the leafs, as strange as it sounds, it\\u2019s true #IWatchThe82'",IWatchThe82,"Montr̩al, Qu̩bec",,
b'Super excited to watch #Worlds at @CineplexMovies tonight. It is going to be a good day. I also finally got Hextech\\u2026 https://t.co/RwvcpLjhDe',Worlds,"Toronto, Ontario",,
b'chances of work letting me wear ear phones while i work today? 50/50',,"Kitchener, Ontario",,
"b""@Abadoienne @justingrimmer @feliciaday @FreedomsPaladin Because #socialism doesn't work for you (You a hardline\\u2026 https://t.co/6E6UR26Nia""",socialism,"Toronto, Ontario",,
"b""i wanna work at ripley's aquarium sooo bad this summer""",,"Guelph, Ontario",,
"b""If you're looking for work in #Winnipeg, MB, check out this #job: https://t.co/SG8w2E57NR #SupplyChain #Hiring #CareerArc""","Winnipeg,job,SupplyChain,Hiring,CareerArc","Winnipeg, Manitoba",,
b'Memorable evening in support of the life-saving work St. John\\u2026 https://t.co/ewhBgc7UWr',,"Markham, Ontario",,
b'@garthbrooks just watching my favorite GB DVD back in 98 when he was in Dallas Texas I think Garth was only 28 or 29 in the video',,"Thorold, Ontario",,
"b'Want to work in #Bradford, ON? View our latest opening: https://t.co/aDBMf9PPPh #Sales #Retail #Job #Jobs #Hiring'","Bradford,Sales,Retail,Job,Jobs,Hiring","Bradford West Gwillimbury, Ontario",,
"b'Haha I see @drake puttin work in them handles, we dribble with impeccable timing and rythem'",,"Hamilton, Ontario",,
b'Share | Collaborate | Learn \\nNothing better than working together and sharing our knowledge and\\u2026 https://t.co/ebfYYzSJBf',,"Winnipeg, Manitoba",,
"b'@allahpundit With podesta in the mix, what\\u2019s the pretext for firing him? Partisan doesn\\u2019t work now. Lol. Pardon everyone. Podesta too. \\U0001f644'",,"Kirkland, Qu̩bec",,
"b""We're editing #urwhatuact Sunny is totally chill about it. @cbcdocs #documentarychannel\\u2026 https://t.co/cfvpqWkbtz""","urwhatuact,documentarychannel","Montr̩al, Qu̩bec",,
"b""@OreoCap Sorry bro, no vests here, but if you want to skip hours of excel grunt work, ask for our model &amp; we won't\\u2026 https://t.co/s8zTAwMhIy""",,"Vancouver, British Columbia",,
"b""If you're looking for work in #Regina, SK, check out this #job: https://t.co/Cb6hmB88yk #Retail #Hiring #CareerArc""","Regina,job,Retail,Hiring,CareerArc","Regina, Saskatchewan",,
"b'Stigmabase | NAM \\u2014 The Trump-GOP tax plan is an insult to working people - Worst of all, the proposals make not\\u2026 https://t.co/mM5E0kiRhL'",,"Vancouver, British Columbia",,
b'@CarrieTait All this attention for a \\u201ccity wide\\u201d zoning system \\u2014 yet #yyccc watchers content to see a non-Ctrain (l\\u2026 https://t.co/fX7sIN55KJ',yyccc,"Calgary, Alberta",,
"b""If you're looking for work in #Burnaby, BC, check out this #job: https://t.co/h92ZPSxAqP #Retail #Hiring #CareerArc""","Burnaby,job,Retail,Hiring,CareerArc","Burnaby, British Columbia",,
b'Dog rescued almost dead - watch what happened! #Topbuzz https://t.co/Ej8VvKMaYH',Topbuzz,"New Westminster, British Columbia",,
"b'I mean, I watched a 19 inning game this year, so...'",,"Edmonton, Alberta",,
b'honestly this little segment was so much fun i can watch it over and over again jfc i love michael and tilly so muc\\u2026 https://t.co/YslqWsqZA3',,"Greater Vancouver, British Columbia",,
b'Getting fed @FaubourgBakery from the nicest realtor @ work makes this Monday marvellous! \\u2764\\ufe0f\\u2764\\ufe0f',,"Vancouver, British Columbia",,
"b""It's week three of the strike and I've only had one breakdown. my brain keeps trying to convince me I'm garbage with no friends. It's workin""",,"Mississauga, Ontario",,
b'@katyperry I worked so hard on this costume wish I could afford to go to the Toronto/Halloween show #Montreal https://t.co/StW72oEbcO',Montreal,"Montr̩al, Qu̩bec",,
b'A little VNPS and pattern work @WCIRedDevil \\u201cwhat it if was position 1\\u201d \\u201cwhat if it was position 2?\\u201d What needs to\\u2026 https://t.co/2tXQKeUrtT',,"Woodstock, Ontario",,
"b""Overheard at work :'I've just started this cool new show, it's called #StrangerThings' \\n\\nShe may have been living under a rock""",StrangerThings,"Toronto, Ontario",,
"b'I wish @WhitecapsFC included an MLS LIVE subscription with season tickets. Would be a nice gesture, let us watch away matches.'",,"Mount Pleasant, Vancouver",,
"b""If you're looking for work in #Calgary, AB, check out this #job: https://t.co/de82cvh3Fx #Retail #Hiring #CareerArc""","Calgary,job,Retail,Hiring,CareerArc","Calgary, Alberta",,
b'I know my family is last too live and does love again after my work doing blood chart stencils in color for all the hospitals passed on 1 of',,"Truro, Nova Scotia",,
"b""I want to work on one of those TV shows that goes to people's places who think they've been visited by aliens\\n\\nThat's my idea of a good time""",,"Montr̩al, Qu̩bec",,
"b""@Rich14white hahaha I'm not fucken staying up that late to watch a game. fuck that lol""",,"Prince, Prince Edward Island",,
"b""If you're looking for work in #Bancroft, ON, check out this #job: https://t.co/eXexVqlT6K #CommunityCare #RN #Hiring""","Bancroft,job,CommunityCare,RN,Hiring","Bancroft, Ontario",,
"b'Want to work in #Kingston, Ontario? View our latest opening: https://t.co/OPvNpqkF3R #YGK #BusinessMgmt #Job #Jobs #Hiring #CareerArc'","Kingston,YGK,BusinessMgmt,Job,Jobs,Hiring,CareerArc","Kingston, Ontario",,
"b'Hey #Winnipeg, you need residential and commercial cleaning services? Follow @WhiteglovesWpg for quality work!\\u2026 https://t.co/VrXAAEw4x6'",Winnipeg,"Winnipeg, Manitoba",,
b'I love Katja and Julie... I really hope everything works out for them \\U0001f476\\U0001f3fb #MyGiantLife',MyGiantLife,"Cochrane, Alberta",,
b'\\u201cLove is when you enjoy watching them to open their presents on Christmas eve even without receiv',,"Winnipeg, Manitoba",,
b'*These* games lol https://t.co/pWKeQXOzv2',,"Toronto, Ontario",,
b'@Baseball_Jenn @MLB How long have your watched baseball...',,"Yellowknife, Northwest Territories",,
b'Very lucky to have watched powerful film Indictment: the Crimes of Shelly Chartier w filmmakers @nahmabin &amp,Shane B\\u2026 https://t.co/XNUdlJsPtY',,,
b'Some new work oct 29th 2017 https://t.co/LYfHx6Qokx',,"Kimberley, British Columbia",,
"b""@JayCB6 Love those late games \\U0001f602\\U0001f602\\U0001f602 haven't seen one since the Edmonton playoff run against the ducks \\U0001f602""",,"St. John's, Newfoundland and Labrador",,
b'Shit I was shook but it\\u2019s her watch https://t.co/KV19YAfI30',,"Calgary, Alberta",,
"b'I have to be up for work in 7 hours, so OF COURSE it\\u2019s the perfect time@to start Stranger Things 2'",,"Toronto, Ontario",,
b'A2: that I have to work weekends and summers. They all think teachers make bank with excellent vacation time. #bcedchat',bcedchat,"Port Moody, British Columbia",,
b'@TD_Canada @RobinMazumder I think you will appreciate the work @td_canada &amp,@stantec is putting into getting safe c\\u2026 https://t.co/7BD55VWBMv',,,
b'So much work but we had so much fun. This is all the actors https://t.co/4lZVUBJmNm',,"West Kelowna, British Columbia",,
b'this guy: come chill\\nme: ok\\nhim: come alone\\nme: bitch did u think I was gonna bring my mom',,Canada,,
b'@Jurky88 Caps lack secondary scoring. He has 3 pts in 6 games and moves the puck better then 55.\\nI take good with the bad.',,"Stony Plain, Alberta",,
b'im watching we bare bears https://t.co/HCI7qw10Em',,"Toronto, Ontario",,
b'Throwing up and always going back and forth earlier at work',,"Nanaimo, British Columbia",,
b'Team work makes dream work! Have you registered your bike? #project529 https://t.co/6KNOsfb5Ea',project529,"Osoyoos 1, British Columbia",,
b'\\u201cLast Chance U\\u201d might be the best sports documentary I\\u2019ve ever watched just amazing',,"Vancouver, British Columbia",,
b'Uncle Joe here wishing everybody a awesome week let\\u2019s all work together let\\u2019s be kind! @JohnDerringer @kidparker @RpmacPaul',,"Vaughan, Ontario",,
"b""Never lived in a building that's evacuated as much as this 1. Interrupted my chill Friday \\U0001f629\\n\\nThe things you put up with for downtown life \\U0001f612""",,"Montr̩al, Qu̩bec",,
b'Not sure if gaydar is broken or forgot how new friends work',,"Montr̩al, Qu̩bec",,
"b'Otters up 5-0 on Oshawa, Taylor Raddysh extends his pts streak to 11 games with a 3 pt night (1g, 2a), 20 pts total over the streak #GoBolts'",GoBolts,"Montr̩al, Qu̩bec",,
b'It\\u2019s chilly outside but that doesn\\u2019t stop the @Calstampeders! Kick off 730pm \\u2014 dress warm Stamps fans!\\u2026 https://t.co/FfhB1ynupQ',,"Calgary, Alberta",,
b'I talked all day about how bad I wanna sleep after work but here I am going out instead',,"Oshawa, Ontario",,
"b""@BlossomJasmin Oh wow I'm so sorry to hear that babe no one should scream at any worker like that that's so disresp\\u2026 https://t.co/7G8LMMote8""",,"Toronto, Ontario",,
"b'Ryan McLeod extends his pts streak to 11 games with 2 assists, @OHLSteelheads are down 3-2 to Owen Sound. 15 pts total over the streak. #OHL'",OHL,"Montr̩al, Qu̩bec",,
b'We are looking for twitter feed and video volunteers for the Hawks games this year: let us know if you or someone you know is interested!',,"Saugeen Shores, Ontario",,
b'when ur best friend works all the time and life sucks https://t.co/YzpUcWOApd',,"Hamilton, Ontario",,
"b'Wolves and Ice Dogs tied 4-4, Sokolov extends his pts streak to 7 games with 1g, 1a, 11 pts total over his streak. #OHL #mnwild'","OHL,mnwild","Montr̩al, Qu̩bec",,
"b'Want to work in #Vancouver, BC? View our latest opening: https://t.co/zUqSd28Eqq #CustomerService #Job #Jobs #Hiring #CareerArc'","Vancouver,CustomerService,Job,Jobs,Hiring,CareerArc","Vancouver, British Columbia",,
b'why am i crying at work at this https://t.co/bZz678RbjR',,"Ottawa, Ontario",,
"b'Akil Thomas has 2 assists for the Ice Dogs, now has 18 pts in 15 games this season (5g, 13a). #OHL #NHLDraft2018'","OHL,NHLDraft2018","Montr̩al, Qu̩bec",,
"b'Yepp. #ThorRagnarok is just as amazing as everyone is saying it is. Best Thor movie by far, and in the Top 5 Marvel movies for me.'",ThorRagnarok,"Halifax, Nova Scotia",,
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/rVs3Jaq2IB #Hospitality #Hiring #CareerArc""","Toronto,job,Hospitality,Hiring,CareerArc","Toronto, Ontario",,
b'@realDonaldTrump Your attempts to railroad people thoughts in order to distract isn\\u2019t working try putting your phon\\u2026 https://t.co/RyV4kerko3',,"Mississauga, Ontario",,
"b""Want to work at The Brick? We're #hiring in #Hamilton, ON! Click for details: https://t.co/Klad8qHGNx #Retail #Job #Jobs #CareerArc""","hiring,Hamilton,Retail,Job,Jobs,CareerArc","Hamilton, Ontario",,
b'Hope to win one of those 2 sporty swiss watches! You can get an extra entry with this link https://t.co/g0XQgGDooy via @Alpinawatches',,"Winnipeg, Manitoba",,
"b""The way I'm not looking forward to stepping into work today Smhhhhh""",,"Toronto, Ontario",,
"b""Want to work at Dave &amp; Buster's? We're #hiring in #Oakville, ON! Click for details: https://t.co/kQH9BzNpuM #FacilitiesMgmt #Job #Jobs""","hiring,Oakville,FacilitiesMgmt,Job,Jobs","Oakville, Ontario",,
"b""Want to work at Zurich? We're #hiring in #Montreal, QC! Click for details: https://t.co/xKgWnnnpAc #bizdev #Job #Jobs #CareerArc""","hiring,Montreal,bizdev,Job,Jobs,CareerArc","Montr̩al, Qu̩bec",,
"b'Want to work in #Waterloo, ON? View our latest opening: https://t.co/6DSVfqk9so #Sales #Job #Jobs #Hiring #CareerArc'","Waterloo,Sales,Job,Jobs,Hiring,CareerArc","Waterloo, Ontario",,
"b'Want to work in #Ottawa, ON? View our latest opening: https://t.co/g8IEmcmVAh #Engineering #Hiring #CareerArc'","Ottawa,Engineering,Hiring,CareerArc","Ottawa, Ontario",,
"b""I never see my fiancee anymore because when I come home from school, he's going to work and it kills me. I just want love and cuddles :'(""",,"St. John's, Newfoundland and Labrador",,
"b""Hope everyone had a safe and fun weekend! It's good to relax and chill once in a while. It's\\u2026 https://t.co/VfqSn1gxZY""",,"North Vancouver, British Columbia",,
"b'Facebook was the worst, people who had no knowledge of how the system works, feel is by watching Hannity abi infowars.'",,"Waterloo, Ontario",,
"b'How can I be expected to watch all that FBI/Russia stuff in the US, when we have drama like this so close to home? https://t.co/evGofp9JgZ'",,"Calgary, Alberta",,
"b""Want to work at Great Clips? We're #hiring in #Barrie, ON! Click for details: https://t.co/I8jbLlzsdu #Cosmetology #Job #Jobs #CareerArc""","hiring,Barrie,Cosmetology,Job,Jobs,CareerArc","Barrie, Ontario",,
b'Attn Ontario filmmakers! @FactoryMediaArt is accepting applications for new workshop instructors. Deadline Nov. 6.\\u2026 https://t.co/g61ReErJdp',,"Toronto, Ontario",,
"b""I put up a temporary garage shelter on the weekend now watching a nor'easter blow through it. Wondering if my time and money will disappear?""",,"Chester, Nova Scotia",,
"b""quit judging just cuz you aren't being watched on your every move. and you prob are and just don't know it. but eit\\u2026 https://t.co/EUh68aw9oK""",,"Toronto, Ontario",,
"b'Want to work in #Quebec, QC? View our latest opening: https://t.co/j8zCApeNbd #Job #Jobs #Hiring #CareerArc'","Quebec,Job,Jobs,Hiring,CareerArc","Qu̩bec, Canada",,
"b'We ware watching, Zimbabwe. Praying for our family &amp; friends to remain safe.\\n#thisflag\\u2026 https://t.co/CFp5wBJdS8'",thisflag,"Fredericton, New Brunswick",,
b'Family Respite Services (FRS) Windsor Essex works in partnership with 1000 families caring for children with disabi\\u2026 https://t.co/jhSlpZWMp9',,"Windsor, Ontario",,
b'Auston Matthews on the ice at Leafs practice \\n\\nFirst practice since missing three games with an upper-body injury',,"Toronto, Ontario",,
"b'.@EUFFTO Survey #FunFact: 40% of audience watch 5-10 films, 19% 10+! https://t.co/McywbQBKSm'",FunFact,"Toronto, Ontario",,
b'@OMorissette a little chilly but beautiful clear skies!',,"Tasiujaq, Qu̩bec",,
"b'@AliceKuipers Looking forward to watching the clip! \\n\\nI hear you briefly met my sister, Shaina, right before you went on air! \\U0001f64c\\U0001f3fd'",,"Saskatoon, Saskatchewan",,
"b'death penalty =or= castration for serial rapists and abusers of children, sex workers and trans femmes etc etc.'",,"Brampton, Ontario",,
"b""So important for those who work with families who have 'complaints' too. (I'd rather call 'complaints' constructive\\u2026 https://t.co/9HkX4JZ5Ky""",,"Vancouver, British Columbia",,
b'@LiberalMkn @MikeBloomberg @JerryBrownGov @FoxNews So u r liking &amp,retweeting ur own tweets.\\nNo I haven\\u2019t watched F\\u2026 https://t.co/mLdHtF4h7p',,,
"b'Want to work in #Toronto, ON? View our latest opening: https://t.co/rW2rAdHCMN #Hospitality #Job #Jobs #Hiring #CareerArc'","Toronto,Hospitality,Job,Jobs,Hiring,CareerArc","Toronto, Ontario",,
